,Crayon news websites
0,http://www.crayon.net/
1,../about/popular.html
2,http://www.unitedjustice.com/
3,http://www.democracynow.org/
4,http://www.cnn.com/
5,http://www.reuters.com/news.jhtml?type=politics
6,http://www.foxnews.com/topstories/index.html
7,http://www.worldnetdaily.com/
8,http://www.msnbc.com/news/msnnews_front.asp?cp1=1
9,http://www.modernman.com/news/
10,http://www.newsmax.com/
11,http://www.msnbc.com/news/NW-front_Front.asp
12,http://www.usatoday.com/news/digest/nd1.htm
13,http://www.nytimes.com/yr/mo/day/national/
14,http://wire.ap.org/?FRONTID=HOME&SITE=FLDAY&enter=Go
15,http://abcnews.go.com/sections/us/
16,http://www.time.com/time/nation/
17,http://www.msnbc.com/news/affiliates_front.asp
18,http://play.rbn.com/?swave/abc/demand/wnews.ra
19,http://www.npr.org/news2a.ram
20,http://www.usnews.com/usnews/news/home.htm
21,http://www.pbs.org/newshour/
22,http://www.positivepress.com/news/index.php3
23,http://www.cbsnews.com/sections/national/main201.shtml
24,http://www.whitehouse.gov/news/
25,http://www.defenselink.mil/news/
26,http://www.feminist.org/news/newsbyte/uswire.asp
27,http://www.dailyrepublican.com/topnews.html
28,http://www.msnbc.com/news/asx/audio/28/cover.asx
29,http://federaltimes.com/
30,http://www.pollingreport.com/
31,http://www.netradio.net/news/audio/newscast.ram
32,http://www.americannews.com/
33,http://www.csmonitor.com/usa/index.html
34,http://morrock.com/
35,http://www.uwire.com/
36,http://www.positivepress.com/news/news.php3?cat=10
37,http://www.nandotimes.com/noframes/nation/index.html
38,http://www.af.mil/news/radio/latest.ram
39,http://www.american-reporter.com
40,http://www.af.mil/news/
41,http://www.csmonitor.com/cgi-bin/play-rams.pl?28.8
42,http://www.hri.org/news/latest/
43,http://www.calgarysun.com/
44,http://www.canada.com/national/
45,http://www.theglobeandmail.com/
46,http://www.thestar.com/
47,http://radioworks.cbc.ca/radio/programs/news/canada_at_5.ram
48,http://www.newswire.ca/htmindex/today.html
49,http://www.canada.com/vancouver/
50,http://www.canada.com/montreal/
51,http://www.canoe.ca/
52,http://weather.yahoo.com/graphics/satellite/Canada.jpg
