,Google news
0,./?hl=en-PK&gl=PK&ceid=PK%3Aen
1,https://www.google.com.pk/intl/en-GB/about/products?tab=nh
2,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://news.google.com/topstories?hl%3Den-PK%26gl%3DPK%26ceid%3DPK:en%26headers%3DUser-Agent&followup=https://news.google.com/topstories?hl%3Den-PK%26gl%3DPK%26ceid%3DPK:en%26headers%3DUser-Agent&hl=en-PK&ec=GAZAqgM
3,./?hl=en-PK&gl=PK&ceid=PK%3Aen
4,./topstories?hl=en-PK&gl=PK&ceid=PK%3Aen
5,./topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?hl=en-PK&gl=PK&ceid=PK%3Aen
6,./topics/CAAqJQgKIh9DQkFTRVFvSUwyMHZNRFZ6WWpFU0JXVnVMVWRDS0FBUAE?hl=en-PK&gl=PK&ceid=PK%3Aen
7,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRGx1YlY4U0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
8,./topics/CAAqHAgKIhZDQklTQ2pvSWJHOWpZV3hmZGpJb0FBUAE?hl=en-PK&gl=PK&ceid=PK%3Aen
9,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRGx6TVdZU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
10,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRGRqTVhZU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
11,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNREpxYW5RU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
12,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRFp1ZEdvU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
13,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRFp0Y1RjU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
14,./topics/CAAqJQgKIh9DQkFTRVFvSUwyMHZNR3QwTlRFU0JXVnVMVWRDS0FBUAE?hl=en-PK&gl=PK&ceid=PK%3Aen
15,https://play.google.com/store/apps/details?id=com.google.android.apps.magazines&referrer=news.google.com?utm_source=web&utm_medium=menu&utm_campaign=side_menu_promotion
16,https://itunes.apple.com/PK/app/apple-store/id459182288?pt=9008&ct=Web%20Side%20Promotion&mt=8&l=en-PK
17,https://support.google.com/googlenews?p=web&hl=en-GB&authuser=0
18,https://policies.google.com/privacy?hl=en-GB
19,https://policies.google.com/terms?hl=en-GB
20,https://about.google?hl=en-PK
21,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRFZxYUdjU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
22,./topics/CAAqKggKIiRDQkFTRlFvSUwyMHZNRFZxYUdjU0JXVnVMVWRDR2dKUVN5Z0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
23,./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTIwMdIBJWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvYW1wLzE2NjkyMDE?hl=en-PK&gl=PK&ceid=PK%3Aen
24,./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTIwMdIBJWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvYW1wLzE2NjkyMDE?hl=en-PK&gl=PK&ceid=PK%3Aen
25,./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTIwMdIBJWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvYW1wLzE2NjkyMDE?hl=en-PK&gl=PK&ceid=PK%3Aen
26,
27,./articles/CAIiEKbiLYH5ACTIOEdX2lLlq2gqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwpLX5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
28,./articles/CAIiEKbiLYH5ACTIOEdX2lLlq2gqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwpLX5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
29,./publications/CAAiELnhZt-cTmYqcvkDkvYr7SQqFAgKIhC54WbfnE5mKnL5A5L2K-0k?hl=en-PK&gl=PK&ceid=PK%3Aen
30,./articles/CAIiEOeNfO_12ogEwooAYsXhy2oqGQgEKhAIACoHCAowu5CGCzDM4IMDMIW7qAc?hl=en-PK&gl=PK&ceid=PK%3Aen
31,./articles/CAIiEOeNfO_12ogEwooAYsXhy2oqGQgEKhAIACoHCAowu5CGCzDM4IMDMIW7qAc?hl=en-PK&gl=PK&ceid=PK%3Aen
32,./publications/CAAqBwgKMLuQhgswzOCDAw?hl=en-PK&gl=PK&ceid=PK%3Aen
33,./articles/CBMiXmh0dHBzOi8vd3d3LnRoZW5ld3MuY29tLnBrL3ByaW50LzkyNDUzNy1tdXJyZWUtdHJhZ2VkeS1mcm9tLW1ham9yLW92ZXJzaWdodHMtdG8tc2VyaW91cy1sYXBzZXPSAVxodHRwczovL3d3dy50aGVuZXdzLmNvbS5way9hbXAvOTI0NTM3LW11cnJlZS10cmFnZWR5LWZyb20tbWFqb3Itb3ZlcnNpZ2h0cy10by1zZXJpb3VzLWxhcHNlcw?hl=en-PK&gl=PK&ceid=PK%3Aen
34,./articles/CBMiXmh0dHBzOi8vd3d3LnRoZW5ld3MuY29tLnBrL3ByaW50LzkyNDUzNy1tdXJyZWUtdHJhZ2VkeS1mcm9tLW1ham9yLW92ZXJzaWdodHMtdG8tc2VyaW91cy1sYXBzZXPSAVxodHRwczovL3d3dy50aGVuZXdzLmNvbS5way9hbXAvOTI0NTM3LW11cnJlZS10cmFnZWR5LWZyb20tbWFqb3Itb3ZlcnNpZ2h0cy10by1zZXJpb3VzLWxhcHNlcw?hl=en-PK&gl=PK&ceid=PK%3Aen
35,
36,./articles/CBMiNWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTAwMS9zaGFtZWZ1bC1ibGFtZS1nYW1l0gElaHR0cHM6Ly93d3cuZGF3bi5jb20vbmV3cy9hbXAvMTY2OTAwMQ?hl=en-PK&gl=PK&ceid=PK%3Aen
37,./articles/CBMiNWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTAwMS9zaGFtZWZ1bC1ibGFtZS1nYW1l0gElaHR0cHM6Ly93d3cuZGF3bi5jb20vbmV3cy9hbXAvMTY2OTAwMQ?hl=en-PK&gl=PK&ceid=PK%3Aen
38,
39,./stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lwOWZMU0JCSHBZZmptbTAxeVJpZ0FQAQ?hl=en-PK&gl=PK&ceid=PK%3Aen
40,./articles/CAIiEKiGgPZhksgStp6Mavjf2CMqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwpLX5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
41,./articles/CAIiEKiGgPZhksgStp6Mavjf2CMqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwpLX5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
42,./articles/CAIiEKiGgPZhksgStp6Mavjf2CMqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwpLX5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
43,./publications/CAAiELnhZt-cTmYqcvkDkvYr7SQqFAgKIhC54WbfnE5mKnL5A5L2K-0k?hl=en-PK&gl=PK&ceid=PK%3Aen
44,./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTIyNdIBJWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvYW1wLzE2NjkyMjU?hl=en-PK&gl=PK&ceid=PK%3Aen
45,./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTY2OTIyNdIBJWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvYW1wLzE2NjkyMjU?hl=en-PK&gl=PK&ceid=PK%3Aen
46,
47,./articles/CAIiEFZ9slCroR_sGbzkG3sO6boqMwgEKioIACIQy9cYBp_vQmjNv9f9XtDXWioUCAoiEMvXGAaf70Jozb_X_V7Q11owxOLHBg?hl=en-PK&gl=PK&ceid=PK%3Aen
48,./articles/CAIiEFZ9slCroR_sGbzkG3sO6boqMwgEKioIACIQy9cYBp_vQmjNv9f9XtDXWioUCAoiEMvXGAaf70Jozb_X_V7Q11owxOLHBg?hl=en-PK&gl=PK&ceid=PK%3Aen
49,./publications/CAAiEMvXGAaf70Jozb_X_V7Q11oqFAgKIhDL1xgGn-9CaM2_1_1e0Nda?hl=en-PK&gl=PK&ceid=PK%3Aen
50,./articles/CAIiEDAU5MPjz9sdUQVkSiYJH7EqGQgEKhAIACoHCAowu5CGCzDM4IMDMIW7qAc?hl=en-PK&gl=PK&ceid=PK%3Aen
