,YouGov America News
0,https://today.yougov.com/about/
1,https://business.yougov.com
2,/
3,/
4,/covid-19
5,/topics/politics
6,/topics/entertainment
7,/topics/consumer
8,/topics/technology
9,/topics/lifestyle
10,/topics/economy
11,/topics/travel
12,/topics/health
13,/topics/international
14,/topics/sports
15,https://today.yougov.com/about/ratings-faq/
16,/topics/media/explore/website/Yahoo
17,/topics/media/explore/website/NBC_com
18,/topics/media/explore/website/CBS_com
19,/topics/media/explore/website/CNN_com
20,/topics/media/explore/website/NBCNews_com
21,/topics/media/explore/website/ESPN_com
22,/topics/media/explore/website/NFL_COM
23,/topics/media/explore/website/NYTimes_com
24,/topics/media/explore/website/CNBC-Website
25,/topics/media/explore/website/MSN_com
26,/topics/media/explore/website/washingtonpost_com
27,/topics/media/explore/website/Reuters
28,/topics/media/explore/website/Forbes_com
29,/topics/media/explore/website/FoxNews_com
30,/topics/media/explore/website/The_Huffington_Post
31,/topics/media/explore/website/Buzzfeed
32,/topics/media/explore/mobile_application/NPR_News
33,/topics/media/explore/website/Bloomberg
34,/topics/media/explore/website/Business_Insider
35,/topics/media/explore/website/Us_Weekly-Website
36,/ratings/media/popularity/current-tv-shows/all
37,/ratings/media/popularity/all-time-tv-shows/all
38,/ratings/media/popularity/tv-networks/all
39,/ratings/media/popularity/radio-programs-podcasts/all
40,/ratings/media/popularity/cable-satellite-brands/all
41,/ratings/media/popularity/digital-services/all
42,/topics/media/trackers
43,/topics/media/articles-reports
44,/topics/media/survey-results
45,https://facebook.com/YouGovUS
46,https://twitter.com/YouGovAmerica
47,https://www.linkedin.com/company/yougov/
48,https://today.yougov.com/news/feeds/latest/
49,/about/about/
50,/about/contact-us/
51,http://jobs.yougov.com
52,https://corporate.yougov.com/
53,https://today.yougov.com/about/press-office/
54,https://yougov.zendesk.com/
55,https://au.yougov.com
56,https://account.yougov.com/at-de/
57,https://account.yougov.com/br-pt/
58,https://ca.yougov.com/en-CA/
59,https://yougov.dk
60,https://yougov.fi
61,https://fr.yougov.com
62,https://yougov.de
63,https://hk.yougov.com/en-hk/
64,https://in.yougov.com/en-hi/
65,https://id.yougov.com/en-id/
66,https://it.yougov.com
67,https://my.yougov.com/en-my/
68,https://mx.yougov.com
69,https://mena.yougov.com/en/
70,https://yougov.no
71,https://pk.yougov.com/en-ur/
72,https://ph.yougov.com/en-ph/
73,https://pl.yougov.com
74,https://sg.yougov.com/en-sg/
75,https://es.yougov.com
76,https://yougov.se
77,https://account.yougov.com/ch-de/
78,https://tw.yougov.com/zh-tw/
79,https://th.yougov.com/en-th/
80,https://account.yougov.com/tr-tr/
81,https://yougov.co.uk
82,https://today.yougov.com
83,https://vn.yougov.com
84,/about/about/
85,/about/contact-us/
86,http://jobs.yougov.com
87,https://corporate.yougov.com/
88,https://today.yougov.com/about/press-office/
89,https://yougov.zendesk.com/
90,https://au.yougov.com
91,https://account.yougov.com/at-de/
92,https://account.yougov.com/br-pt/
93,https://ca.yougov.com/en-CA/
94,https://yougov.dk
95,https://yougov.fi
96,https://fr.yougov.com
97,https://yougov.de
98,https://hk.yougov.com/en-hk/
99,https://in.yougov.com/en-hi/
100,https://id.yougov.com/en-id/
101,https://it.yougov.com
102,https://my.yougov.com/en-my/
103,https://mx.yougov.com
104,https://mena.yougov.com/en/
105,https://yougov.no
106,https://pk.yougov.com/en-ur/
107,https://ph.yougov.com/en-ph/
108,https://pl.yougov.com
109,https://sg.yougov.com/en-sg/
110,https://es.yougov.com
111,https://yougov.se
112,https://account.yougov.com/ch-de/
113,https://tw.yougov.com/zh-tw/
114,https://th.yougov.com/en-th/
115,https://account.yougov.com/tr-tr/
116,https://yougov.co.uk
117,https://today.yougov.com
118,https://vn.yougov.com
119,https://account.yougov.com/us-en/account/privacy-policy
120,https://account.yougov.com/us-en/account/terms-and-conditions
121,https://account.yougov.com/us-en/account/privacy-policy#cookies
122,/account/permissions/
