,jeo pakistan news
0,https://www.geo.tv/
1,https://www.geo.tv/
2,https://www.geo.tv/election/constituency
3,https://www.geo.tv/election/candidates
4,https://www.geo.tv/election/results
5,https://www.geo.tv/
6,http://urdu.geo.tv
7,https://www.geo.tv/latest-news
8,https://www.geo.tv/trending/coronavirus
9,https://www.geo.tv/category/pakistan
10,https://www.geo.tv/category/world
11,https://www.geo.tv/category/sports
12,https://www.geo.tv/category/showbiz
13,https://www.geo.tv/category/entertainment
14,https://www.geo.tv/category/business
15,https://www.geo.tv/category/health
16,https://www.geo.tv/category/sci-tech
17,https://www.geo.tv/food
18,https://www.geo.tv/videos
19,https://www.geo.tv/tv-shows
20,http://asool.geo.tv
21,https://www.geo.tv/about-us
22,javascript:void(0)
23,https://www.geo.tv/
24,https://live.geo.tv/
25,https://www.geo.tv/
26,https://www.geo.tv/
27,https://live.geo.tv/
28,https://www.geo.tv/
29,https://www.geo.tv/latest-news
30,https://www.geo.tv/trending/coronavirus
31,https://www.geo.tv/category/pakistan
32,https://www.geo.tv/category/world
33,https://www.geo.tv/category/sports
34,https://www.geo.tv/category/showbiz
35,https://www.geo.tv/videos
36,https://www.geo.tv/category/entertainment
37,https://www.geo.tv/tv-shows
38,https://www.geo.tv/category/business
39,https://www.geo.tv/category/sci-tech
40,https://www.geo.tv/food
41,https://urdu.geo.tv
42,https://www.geo.tv/latest/393239-biek-rejects-news-regarding-the-result-of-pre-engineering-examination-2021
43,https://www.geo.tv/latest/393239-biek-rejects-news-regarding-the-result-of-pre-engineering-examination-2021
44,https://www.geo.tv/latest/393236-toxic-liquor-kills-fourteen-in-interior-sindh
45,https://www.geo.tv/latest/393196-na-sesson-underway-on-mini-budget-amid-opposition-ruckus-protest
46,https://www.geo.tv/latest/393209-this-is-just-the-start-says-maryam-nawaz-while-taking-swipe-at-pm
47,https://www.geo.tv/latest/393159-ttps-spokesperson-confirms-death-of-muhammad-khorasani
48,https://www.geo.tv/latest/393174-cic-approves-to-conduct-seventh-census
49,https://www.geo.tv/latest/393199-coas-gen-bajwa-meets-us-diplomat-to-discuss-afghan-situation
50,https://www.geo.tv/latest/393208-shafqat-mehmood-tests-positive-for-covid-19-again
51,https://www.geo.tv/latest/393188-new-twist-as-former-pti-leader-in-uk-claims-he-gave-cash-to-hareem-shah-for-video
52,https://www.geo.tv/latest/393181-consumers-slow-internet-peak-hours-ptcl
53,https://www.geo.tv/latest/393185-imran-khan-is-my-leader-pervez-khattak-says-after-heated-argument-with-pm
54,https://www.geo.tv/latest/393179-hec-announces-us-scholarship-for-pakistanis
55,https://www.geo.tv/latest/393147-pm-imran-khan-to-attend-winter-olympics-opening-ceremony-in-beijing
56,https://www.geo.tv/latest/393142-murad-raas-talks-about-schools-closure-amid-coronavirus-surge
57,https://www.geo.tv/latest/393136-pakistan-announces-new-quarantine-rules-for-inbound-travellers
58,https://www.geo.tv/latest/393119-ndma-responsible-for-murree-catastrophe-ihc
59,https://www.geo.tv/latest/393124-p-5-statement-a-positive-development-can-pave-way-for-strategic-stability-fo
60,https://www.geo.tv/latest/393102-watch-divided-by-partition-siblings-reunite-in-kartarpur-after-74-years
61,https://www.geo.tv/latest/393106-why-has-the-national-action-plan-been-sidelined
62,https://www.geo.tv/latest/393105-the-challenges-for-pakistans-tourism-industry
63,https://www.geo.tv/latest/393077-pak-envoy-to-us-hails-pakistan-born-scientist-for-ground-breaking-surgery
64,https://www.geo.tv/latest/393083-pakistani-passport-ranks-fourth-worst-for-consecutive-third-time
65,https://www.geo.tv/latest/393075-shafqat-mehmood-to-decide-on-closing-schools-today-amid-rising-coronavirus-cases
66,https://www.geo.tv/latest/393074-pakistan-reports-over-3000-coronavirus-cases-for-first-time-in-4-months
67,https://www.geo.tv/latest/393047-pti-finance-head-says-all-uk-funds-sent-to-pakistan-rejects-ecp-report
68,https://www.geo.tv/latest/393051-atc-sentences-four-accused-in-johar-town-blast-case-to-nine-times-death-penalty
69,https://www.geo.tv/latest/393033-na-body-summons-ex-cj-saqib-nisar-again
70,https://www.geo.tv/latest/393020-quetta-20-doctors-have-been-arrested-for-entering-red-zone-scuffle-injures-6-policemen
71,https://www.geo.tv/latest/393012-pakistan-turkey-video-call-sheikh-rasheed-suleyman-soylu
72,https://www.geo.tv/latest/393014-pm-imran-khan-briefed-on-national-security-during-visit-to-isi
73,https://www.geo.tv/latest/393015-pakistan-strongly-condemns-hijacking-of-uae-flagged-cargo-vessel
74,https://www.geo.tv/latest/392975-country-will-not-recover-unless
75,https://www.geo.tv/latest/392995-president-alvi-recovers-from-covid-19-omicron-variant
76,https://www.geo.tv/latest/392996-shafqat-mehmood-to-make-decision-regarding-schools-tomorrow
77,https://www.geo.tv/latest/392997-police-arrests-two-shooters-opened-fire-on-mpa-bilal-yaseen
78,https://www.geo.tv/latest/392999-hareem-shah-denies-carrying-money-to-uk-after-fia-launches-money-laundering-probe
79,https://www.geo.tv/latest/392986-sbp-issues-rs100-coin-to-commemorate-university-of-engineering-and-technolofy
